RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
26976,370085100,2016-06-02T00:00:00.000Z,334000,2016:1971
26977,370085101,1982-03-02T00:00:00.000Z,0,WB25:650
26978,370085101,1984-06-15T00:00:00.000Z,70000,451:314
26979,370085110,1983-04-28T00:00:00.000Z,84907,437:343
26980,370085120,1974-01-14T00:00:00.000Z,37530,353:520
26981,370085130,2004-11-22T00:00:00.000Z,0,1004:859
26982,370085130,1992-06-01T00:00:00.000Z,0,580:794
26983,370085130,2004-11-22T00:00:00.000Z,0,1004:834
26984,370085130,2000-05-08T00:00:00.000Z,75000,780:511
26985,370085130,1989-03-10T00:00:00.000Z,78000,0:0
26986,370085140,1991-11-07T00:00:00.000Z,0,WB34:445
26987,370085140,1992-12-11T00:00:00.000Z,112000,593:734
26988,370085150,1967-11-13T00:00:00.000Z,18186,293:451
26989,370085160,1998-09-24T00:00:00.000Z,0,733:705
26990,370085160,1996-03-28T00:00:00.000Z,144000,668:711
26991,370085160,2010-04-19T00:00:00.000Z,0,2010:1304
26992,370085160,1995-12-20T00:00:00.000Z,0,0:0
26993,370085170,2009-05-29T00:00:00.000Z,305000,2009:2151
26994,370085170,1991-10-01T00:00:00.000Z,122500,0:0
26995,370085170,2008-06-11T00:00:00.000Z,0,W2008:5855
26996,370085170,1996-09-09T00:00:00.000Z,141000,679:535
26997,370085180,1992-08-24T00:00:00.000Z,113000,586:555
26998,370085180,1994-05-31T00:00:00.000Z,117500,631:720
26999,370085180,2016-08-11T00:00:00.000Z,0,2016:3057
27000,370085190,2006-03-30T00:00:00.000Z,0,1075:76
27001,370085190,2006-03-10T00:00:00.000Z,0,1073:295
27002,370085190,1990-07-02T00:00:00.000Z,1,319:173
27003,370085190,2006-07-14T00:00:00.000Z,335000,1096:854
27004,370085190,2004-09-22T00:00:00.000Z,195000,996:522
27005,370085190,1970-09-01T00:00:00.000Z,24900,0:0
27006,370085200,1983-08-09T00:00:00.000Z,65000,441:393
27007,370085200,1980-06-02T00:00:00.000Z,64500,411:328
27008,370085201,1999-06-04T00:00:00.000Z,125000,755:645
27009,370085201,1999-01-11T00:00:00.000Z,0,WB 42:688
27010,370085201,2001-05-08T00:00:00.000Z,0,808:210
27011,370085201,1977-07-07T00:00:00.000Z,0,WB 21:531
27012,370085201,1962-06-11T00:00:00.000Z,21000,232:319
27013,370085201,2018-01-30T00:00:00.000Z,282000,2018:378
27014,370085210,2007-08-09T00:00:00.000Z,285000,1154:722
27015,370085210,2015-03-23T00:00:00.000Z,295000,2015:862
27016,370085210,1963-02-06T00:00:00.000Z,18750,237:470
27017,370085220,1963-03-22T00:00:00.000Z,13525,238:504
27018,370085220,2009-07-31T00:00:00.000Z,307000,2009:3364
27019,370085220,2006-06-26T00:00:00.000Z,330000,1092:273
27020,370085230,2004-04-27T00:00:00.000Z,0,970:457
27021,370085230,1966-07-15T00:00:00.000Z,16500,279:361
27022,370085230,2000-06-30T00:00:00.000Z,124000,784:847
27023,370085240,2006-05-16T00:00:00.000Z,345000,1082:413
27024,370085240,1989-11-30T00:00:00.000Z,116500,0:0
27025,370085240,2011-04-21T00:00:00.000Z,255000,2011:1482
27026,370085240,1997-11-26T00:00:00.000Z,0,707:569
27027,370085250,2009-07-20T00:00:00.000Z,290000,2009:3145
27028,370085250,2005-06-03T00:00:00.000Z,304500,1031:900
27029,370085250,2009-02-05T00:00:00.000Z,355917,2009:372
27030,370085250,1993-07-16T00:00:00.000Z,112500,607:257
27031,370085250,1977-06-29T00:00:00.000Z,46500,0:0
27032,370085260,2014-05-05T00:00:00.000Z,0,2014:1425
27033,370085260,1972-08-31T00:00:00.000Z,30500,339:361
27034,370085270,2006-05-17T00:00:00.000Z,0,1082:592
