geo_name,geo_sumlevel,geo_id,income_2013,income_2014,income_2015,income_2016,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Pecan Grove, TX","place",16000US4856482,103203,101131,106466,106919,180000,180200,186400,196600
"Pecan Hill, TX","place",16000US4856485,53309,55893,52625,60357,134900,131600,133300,138300
"Pecan Plantation, TX","place",16000US4856498,87635,85000,87930,80865,227400,228600,223100,226700
"Pecos, TX","place",16000US4856516,42375,45028,46283,51364,39800,41800,44600,44700
"Pelican Bay, TX","place",16000US4856640,31250,30833,32008,31484,35300,32300,34000,38500
"Pena, TX","place",16000US4856644,,,,,,,,
"Penelope, TX","place",16000US4856672,41111,44545,44732,53750,43500,38300,41300,50000
"Penitas, TX","place",16000US4856696,34866,34818,34057,38789,81600,83300,86800,89600
"Perezville, TX","place",16000US4856804,22616,26059,27054,30494,68100,62800,51300,69400
"Perrin, TX","place",16000US4856864,53839,69250,54265,41442,69300,60700,52800,55400
"Perryton, TX","place",16000US4856912,48778,50758,50482,46535,78700,75900,81600,88400
"Petersburg, TX","place",16000US4856996,36250,38884,40000,48750,39300,44400,47200,50400
"Petrolia, TX","place",16000US4857044,47115,41250,38173,38828,59900,61500,58000,56800
"Petronila, TX","place",16000US4857056,51731,53542,53438,59750,404500,171400,,164100
"Pettus, TX","place",16000US4857116,53125,53214,58750,58750,68300,58100,56400,60000
"Pflugerville, TX","place",16000US4857176,76032,74196,76459,77899,167500,168500,174500,183500
"Pharr, TX","place",16000US4857200,32087,34655,34708,36501,71100,72900,71700,73600
"Pilot Point, TX","place",16000US4857476,44895,50666,47292,50898,108200,112800,113500,112900
"Pine Forest, TX","place",16000US4857524,47857,53482,60893,65500,83800,83800,85800,88800
"Pine Harbor, TX","place",16000US4857566,14485,17703,19622,17796,24300,30200,58400,59000
"Pinehurst, TX","place",16000US4857596,49223,45868,46690,50833,131500,126100,136800,158300
"Pinehurst, Orange County, TX","place",16000US4857608,33500,33906,39313,46897,93600,95500,98800,94100
"Pine Island, TX","place",16000US4857615,64028,49583,59464,42083,132900,137500,138300,123800
"Pineland, TX","place",16000US4857644,34353,33875,22794,23173,52000,62300,63700,66000
"Pinewood Estates, TX","place",16000US4857752,124904,130128,130500,134591,164400,170300,190000,231000
"Piney Point Village, TX","place",16000US4857800,229250,250001,250001,250001,1000000,1000000,1558200,1624200
"Pittsburg, TX","place",16000US4857908,27895,27721,31353,33990,78100,69500,64400,61500
"Placedo, TX","place",16000US4857932,24821,31302,30260,31176,47500,52300,54600,66700
"Plains, TX","place",16000US4857968,45094,45362,46106,56213,61700,74500,67600,72500
